
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..Preliminary/IC.py:117 DoExperiment  1      0.020975  44.02517  44.02517
..ype/Preliminary/IC.py:31 ICCascade  10000  0.667908  33.03399  0.003303
..totype/Preliminary/IC.py:46 ICStep  101..  20.35204  32.30959  0.000318
../Preliminary/IC.py:68 AnalyzeGraph  1      0.010818  10.53957  10.53957
..nness.py:22 betweenness_centrality  1      0.073850  7.509414  7.509414
..graph.py:1063 Graph.neighbors_iter  582..  4.818482  6.724505  0.000001
.._single_source_shortest_path_basic  1000   3.956964  5.946941  0.005947
..oseness.py:18 closeness_centrality  1      0.011277  2.349236  2.349236
..single_source_shortest_path_length  1000   1.385108  2.322288  0.002322
..tweenness.py:287 _accumulate_basic  1000   1.131102  1.488503  0.001489
..ses/graph.py:379 Graph.__getitem__  226..  0.888162  0.888162  0.000000
..ector.py:18 eigenvector_centrality  1      0.389333  0.640177  0.640177
..ython3.5/json/__init__.py:119 dump  2      0.035659  0.235434  0.117717
...5/json/encoder.py:411 _iterencode  44584  0.028549  0.181581  0.000004
..on/encoder.py:332 _iterencode_dict  172..  0.126556  0.153026  0.000001
..eliminary/IC.py:21 InitializeGraph  1      0.004317  0.096890  0.096890
..rastructure.py:825 uniform_gen.rvs  1996   0.023313  0.089477  0.000045
..3.5/random.py:170 Random.randrange  10000  0.021678  0.054934  0.000005
..numpy/core/fromnumeric.py:1953 all  3992   0.008882  0.041637  0.000010
...5/random.py:220 Random._randbelow  12010  0.025684  0.038271  0.000003
..lity/eigenvector.py:128 <listcomp>  52     0.022624  0.036584  0.000704
..raphs.py:602 barabasi_albert_graph  1      0.003759  0.029282  0.029282
..sses/graph.py:610 Graph.nodes_iter  10004  0.014805  0.023374  0.000002
..ality/eigenvector.py:121 <genexpr>  52052  0.021426  0.021426  0.000000
..ses/graph.py:1139 Graph.edges_iter  5991   0.015515  0.016401  0.000003
..ges/numpy/core/_methods.py:40 _all  3992   0.003591  0.016335  0.000004
..andom_graphs.py:590 _random_subset  998    0.004198  0.014285  0.000014
..y/core/fromnumeric.py:1817 product  1996   0.003879  0.013844  0.000007
..mpy/core/numeric.py:534 asanyarray  4034   0.005174  0.012808  0.000003
../classes/graph.py:1086 Graph.edges  1      0.000694  0.012027  0.012027
..classes/graph.py:1315 Graph.degree  1000   0.003243  0.010822  0.000011
../graph.py:803 Graph.add_edges_from  998    0.007476  0.010312  0.000010
..hon3.5/random.py:250 Random.choice  2010   0.002880  0.008527  0.000004
..us_distns.py:4311 uniform_gen._rvs  1996   0.002323  0.007283  0.000004
..es/graph.py:1354 Graph.degree_iter  3001   0.003585  0.007117  0.000002
